Field,Description,Change,Basis schema,New schema,Related feature,Rationale
transitioning,"Indicates whether the elevator is in the process of moving between floors.",Replaces  driving,state.json,elevator_state.json,Elevator control,"Concepts such as rotation or driving are irrelevant for elevators, as their motion is restricted to vertical travel along a fixed path"
typeSpecification.elevatorClass,"Classification of the elevator type (e.g., traction-based).",Replaces agvClass,factsheet.json,elevator_factsheet.json,Elevator control,
typeSpecification.maxFloors,Maximum number of floors the elevator is capable of traveling as specified by manufacturer,Replaces agvGeometry.envelopes2d,factsheet.json,elevator_factsheet.json,Elevator control,
physicalParameters.speedMin,Minimal controlled continuous speed of the AGV,Removed,factsheet.json,elevator_factsheet.json,Elevator control,"Elevators don’t operate at continuous low speeds: they only accelerate, cruise, and stop. Since an elevator never needs to “drive slowly” like an AGV, this parameter isn’t relevant to elevator operation."
elevatorGeometry.envelopes2d,Two-dimensional footprint of the cabin.,Replaces agvGeometry.envelopes2d,factsheet.json,elevator_factsheet.json,Elevator control,
physicalParameters.height,Inner height of the elevator cabin.,Replaces maxHeight and minHeight,factsheet.json,elevator_factsheet.json,Elevator control,Elevator cabin height is uniform and the two fields may be joined together
newBaseRequest,"A field that the AGV can set
to True to indicate that master
control should send a new base
path of nodes (See Section III).
If no base is provided, the
AGV reduces its speed","Semantic modification: when used
by an elevator, setting this field to
True indicates that the elevator requires a new base of floor nodes. Unlike AGVs, this flag does not imply
deceleration",state.json,elevator_state.json,Elevator control,"The original semantics do not align with elevator behavior, as deceleration when approaching floors is predetermined and cannot be influenced by this flag."




